TOTAL,ANIO,MES,DIA,DIA2,Tmin,Tmax,Temperature,Relative Humidity,Wind Speed,Wind Direction,luna,
77,1,10,1,7,19.4,25.7,22.8,67.62,7.2,96.67,77.19855316,
81,1,10,2,1,18.6,26.9,23.2,69.05,7.6,123.33,85.00936119,
65,1,10,3,2,25.1,26.1,25.6,49.02,14.8,110,91.52188873,
74,1,10,4,3,25.1,26.1,25.6,61.27,9.4,95,96.39043333,
72,1,10,5,4,20.7,25.4,23.6,63.09,13,124,99.28853883,
67,1,10,6,5,19.9,29.2,25.1,61.06,7.2,86.67,99.93881581,
67,1,10,7,6,17.6,24.1,21.7,77.87,7.2,90,98.15275315,
76,1,10,8,7,18.6,23.4,21.1,69.74,3.6,163.33,93.87416393,
70,1,10,9,1,19.1,24.6,22.3,65.69,3.6,293.33,87.21589302,
78,1,10,10,2,19.1,27.9,24.8,63.65,13,95.25,78.47799447,
57,1,10,11,3,18.7,25.9,22.9,68.61,7.2,66.67,68.13821238,
67,1,10,12,4,18.6,25.6,22.9,58.72,7.6,87.5,56.81219163,
74,1,10,13,5,19.4,24.2,22.6,60.8,11.2,82.5,45.18940958,
52,1,10,14,6,18.6,26.4,23,64.96,7.2,90,33.95808536,
69,1,10,15,7,20.4,27.1,23.5,55.58,7.6,110,23.73528075,
78,1,10,16,1,18.7,26.9,23.5,59.24,7.2,90,15.01590719,
66,1,10,17,2,17.6,25.2,22,63.83,7.2,69.67,8.147711084,
74,1,10,18,3,25.1,27.9,26.5,52.47,7.2,145,3.33149516,
71,1,10,19,4,18.7,26.1,23.3,54.41,7.2,65,0.639828452,
86,1,10,20,5,20.8,27.9,24.9,55.84,14.8,294,0.044924011,
67,1,10,21,6,19.1,28.7,24.6,48.93,7.2,90,1.447122424,
86,1,10,22,7,18.2,29.4,24.2,51.05,7.6,137.5,4.69825012,
82,1,10,23,1,18.7,27.1,23.5,54.29,10.8,50,9.617477091,
74,1,10,24,2,22.1,22.1,22.1,43.46,7.6,120,15.99999236,
63,1,10,25,3,12.1,24.9,19.1,60.24,10.8,85,23.62026867,
63,1,10,26,4,14.7,24.4,19,48.25,7.6,135,32.23189789,
66,1,10,27,5,9.1,27.4,20.5,53.23,7.6,207.5,41.5653713,
70,1,10,28,6,16.6,27.6,22.1,57.93,9.4,77.5,51.32441886,
82,1,10,29,7,18.6,26.7,23.4,52.94,7.2,203.33,61.18127965,
71,1,10,30,1,17.6,24.6,22.3,54.78,9.4,217.5,70.77196123,
77,1,10,31,2,23.2,23.2,23.2,55.85,3.6,350,79.69407574,
69,1,11,1,3,17.1,25.9,21.5,62.6,3.6,320,87.51155063,
78,1,11,2,4,19.4,28.1,24.6,57.58,3.6,146.67,93.77128594,
82,1,11,3,5,19.1,30.1,24.9,56.49,7.6,96.67,98.03550774,
65,1,11,4,6,23.2,31.1,27.4,29.14,3.6,90,99.92957083,
60,1,11,5,7,15.1,30.3,24.3,49.58,7.6,121.67,99.19893661,
76,1,11,6,1,15.1,29.9,23.8,30.06,3.6,100,95.76308786,
66,1,11,7,2,14.4,28.9,22.6,47.68,7.2,76.67,89.75117227,
75,1,11,8,3,12.6,29.7,22.7,33.59,3.6,200,81.50651623,
77,1,11,9,4,16.9,28.2,24.8,43.85,5.4,170,71.5549578,
101,1,11,10,5,19.1,27.7,24.3,52.86,7.2,165,60.54256673,
71,1,11,11,6,18.1,28.1,23.2,52.9,7.2,90,49.15738217,
93,1,11,12,7,17.4,28.1,23.1,43.95,7.2,103.67,38.05350192,
95,1,11,13,1,17.1,27.4,24.1,40.88,16.6,92,27.79303075,
81,1,11,14,2,16,26.4,21.8,53.81,7.2,92.33,18.81395544,
63,1,11,15,3,15.6,26.7,22.1,50.96,3.6,133.33,11.42358759,
72,1,11,16,4,16.1,16.1,16.1,65.79,7.2,90,5.811038438,
82,1,11,17,5,14.1,27.2,21.5,41.31,3.6,120,2.069713338,
80,1,11,18,6,13.6,29.5,23.3,47.65,7.2,90,0.221625828,
91,1,11,19,7,17.2,26.7,22.6,39.34,7.2,80,0.238003525,
73,1,11,20,1,14.4,26.7,20.4,53.15,5.4,185,2.053687824,
67,1,11,21,2,9.1,26.4,20.3,49.25,18.4,180,5.575196891,
90,1,11,22,3,12.4,26.4,21.8,36.2,7.6,56.67,10.68359662,
71,1,11,23,4,12.1,22.9,18.3,38.98,7.6,86.67,17.23354985,
96,1,11,24,5,9.2,23.9,17.7,43.91,3.6,120,25.04944744,
78,1,11,25,6,10.6,26.1,19.4,53.2,7.2,91.33,33.91890643,
82,1,11,26,7,12.2,26.7,22.4,31.78,18.4,90,43.58373714,
76,1,11,27,1,8.4,24.9,19.2,44.28,3.6,230,53.72919198,
81,1,11,28,2,11.7,25.4,19.5,43.14,9.4,127.5,63.97402192,
61,1,11,29,3,10.6,26.9,19.6,41,3.6,93.33,73.86614228,
75,1,11,30,4,12.6,24.2,19.1,32.58,7.2,73,82.89048082,
90,1,12,1,5,10.6,22.9,17.6,37.4,14.8,88,90.49537267,
65,1,12,2,6,8.8,25.1,17.7,47.31,7.2,85,96.1404366,
77,1,12,3,7,20.8,24.9,22.9,33.91,3.6,110,99.36216418,
70,1,12,4,1,6.1,25.7,18,54.19,9.4,206.67,99.84536845,
68,1,12,5,2,13.1,26.4,20.8,55.84,7.2,76.67,97.48274781,
70,1,12,6,3,11.1,27.1,21.9,44.71,7.6,240,92.4047533,
50,1,12,7,4,8,25.7,18.2,56.06,10.8,170,84.96907023,
66,1,12,8,5,15.6,22.1,19.8,46.21,7.2,210,75.71105948,
66,1,12,9,6,5.6,19.1,13.2,28.61,14.8,130,65.26835456,
92,1,12,10,7,8.7,19.1,15.3,28.54,9.4,96.67,54.29934103,
82,1,12,11,1,6.6,16.4,12.3,40.95,3.6,215,43.41416547,
67,1,12,12,2,9.1,25.3,17.2,32.68,7.3,87,33.12978909,
85,1,12,13,3,11.1,17.1,14.1,28.23,5.4,280,23.85141833,
79,1,12,14,4,10.6,23.4,19.2,51.15,7.2,166.67,15.87532001,
77,1,12,15,5,13.6,22.2,17.9,65.31,9.4,172.5,9.404545053,
72,1,12,16,6,12.6,16.1,14.4,90.33,18.4,145,4.56924434,
77,1,12,17,7,16.6,22.4,19.5,71.77,7.2,90,1.44559918,
76,1,12,18,1,14.2,23.4,19.2,72.09,7.2,186.67,0.070278804,
77,1,12,19,2,14.6,25.1,19.8,63,7.6,180,0.449653792,
78,1,12,20,3,24.1,25.4,24.5,37.26,11.2,286.67,2.564262264,
81,1,12,21,4,12.1,24.9,18.5,64.24,7.6,100,6.369280579,
108,1,12,22,5,12.6,21.7,18.5,59.8,9.4,130,11.7913419,
73,1,12,23,6,7.1,25.1,16.7,65.64,7.6,77.5,18.72148026,
68,1,12,24,7,21.5,21.5,21.5,47.41,7.1,116,27.00379806,
40,1,12,25,1,19.1,24.1,21.6,27.94,5.4,30,36.42012249,
60,1,12,26,2,10.6,25.2,18.2,53.32,7.2,217.5,46.67265042,
63,1,12,27,3,25.9,25.9,25.9,24.7,3.6,40,57.3691627,
77,1,12,28,4,11.1,23.4,18.2,50.45,7.2,170,68.01796928,
66,1,12,29,5,10.6,23.4,18,54.21,3.6,170,78.04086212,
57,1,12,30,6,10.6,25.4,19,55.29,3.6,90,86.81036724,
66,1,12,31,7,11.9,24.1,20.1,50.84,14.8,230,93.7116619,
64,3,1,1,1,11.9,11.9,11.9,87.55,8.09,180,98.22072885,
64,3,1,2,2,11.6,24,18.4,56.02,7.2,110.33,99.98196585,
70,3,1,3,3,23.7,23.7,23.7,35.15,3.6,30,98.86488612,
67,3,1,4,4,10.6,23.4,18,54.28,9.4,137.5,94.98357896,
57,3,1,5,5,10.6,26.1,20.9,45.37,11.2,187.25,88.6734462,
74,3,1,6,6,6.1,25.1,17.3,54.76,7.2,90,80.4328837,
63,3,1,7,7,10.1,20.8,15.4,65.15,3.6,190,70.84725382,
74,3,1,8,1,10.4,25.4,17.9,55.84,7.2,150,60.5149248,
64,3,1,9,2,9.1,24.9,18.2,47.69,7.2,93.33,49.99045154,
66,3,1,10,3,9.9,24.6,18.9,54.55,7.2,290,39.75147822,
83,3,1,11,4,10.1,25.1,19.3,41.42,11.2,210,30.18783099,
63,3,1,12,5,11.1,25.1,18.6,30.88,9.4,106.67,21.60632112,
57,3,1,13,6,6.6,26.6,17.7,49.98,7.2,90,14.24356728,
83,3,1,14,7,7.9,21.4,15.8,38.72,7.6,93.75,8.280604816,
70,3,1,15,1,5.4,5.4,5.4,83.92,8.09,100,3.855567721,
74,3,1,16,2,7.1,23.9,17,49.72,7.2,106.67,1.072990675,
75,3,1,17,3,6.4,21.2,15.2,53.21,3.6,335,0.009601084,
82,3,1,18,4,8.6,23.7,17,57.13,7.2,130,0.716771495,
73,3,1,19,5,10.1,22.9,18,61.66,7.2,76.67,3.219400956,
60,3,1,20,6,9.6,24.6,18.1,58.52,7.2,90,7.510409207,
61,3,1,21,7,8.1,24.9,17.8,41.97,10.8,210,13.53981279,
67,3,1,22,1,8.7,23.7,16.7,39.54,3.6,210,21.19796897,
77,3,1,23,2,11.9,25.2,20,48.43,7.2,153.33,30.29427166,
90,3,1,24,3,12.6,25.6,19.6,53.75,7.2,110,40.5352427,
63,3,1,25,4,12.1,18.4,15.7,69.4,7.6,102.5,51.50891057,
78,3,1,26,5,12.1,23.7,18.4,59.15,7.2,130,62.68430856,
76,3,1,27,6,10.4,26.1,19.3,59.93,7.2,90,73.43422092,
62,3,1,28,7,20.1,24.6,22.4,55.03,7.2,105,83.08478274,
75,3,1,29,1,10.7,18.9,16.3,67.84,24.1,99.67,90.98758078,
72,3,1,30,2,14.6,17.1,15.9,34.97,7.6,96.67,96.60105009,
79,3,1,31,3,13.6,16.9,15.5,40.16,7.2,85,99.56221416,
85,3,2,1,4,8.6,20.4,15.9,66.41,3.6,150,99.73054503,
90,3,2,2,5,12.6,27.2,20.7,56.58,7.2,120,97.19343677,
86,3,2,3,6,13.6,24.1,19.4,66.17,3.6,90,92.23445207,
71,3,2,4,7,27.1,27.9,27.5,19.49,3.6,290,85.2760778,
65,3,2,5,1,26.9,26.9,26.9,27.13,3.6,270,76.81398588,
76,3,2,6,2,14.6,26.2,22.7,45.07,10.8,163.33,67.35847051,
83,3,2,7,3,10.1,24.6,19.6,46.47,13,335,57.39269065,
77,3,2,8,4,15.6,23.9,20.7,51.68,7.4,113.5,47.35002316,
77,3,2,9,5,13.6,16.9,15.6,82.58,3.6,140,37.60722039,
81,3,2,10,6,10.9,21.1,16.9,67.48,11.2,145,28.48752068,
75,3,2,11,7,20.1,22.6,21.3,46.05,3.7,160.5,20.26808667,
87,3,2,12,1,13.7,26.1,22.1,37.88,14.8,214,13.18792134,
63,3,2,13,2,10.1,26.9,18.4,61.57,7.2,80,7.454405845,
80,3,2,14,3,21.8,25.6,23.5,47.6,7.2,123.33,3.247909971,
63,3,2,15,4,16.6,27.1,23.3,43.24,3.6,146.67,0.724239823,
72,3,2,16,5,16.1,27.4,22.5,50.87,3.6,180,0.014231622,
73,3,2,17,6,16.1,28.1,23.7,46.84,9.4,87.5,1.219116635,
86,3,2,18,7,19.1,26.1,22.9,40.09,7.2,260,4.39999722,
71,3,2,19,1,12.1,25.9,19,53.99,7.2,240,9.560403559,
75,3,2,20,2,22.6,24.9,23.7,37.71,7.2,185,16.62269621,
69,3,2,21,3,22.1,25.1,23.8,31.95,13,150,25.401885,
62,3,2,22,4,14.6,27.1,21.6,53.2,7.2,233.33,35.58355155,
74,3,2,23,5,15.6,27.7,22.2,43.29,7.2,220,46.71473167,
58,3,2,24,6,16,28.1,23,42.46,10.8,90,58.21631546,
66,3,2,25,7,22.1,22.1,22.1,33.05,5.4,130,69.42170051,
81,3,2,26,1,15.9,27.9,21.3,44.02,7.2,220,79.63940562,
72,3,2,27,2,15.1,28.1,23.6,40.21,7.6,100,88.22926833,
85,3,2,28,3,27.1,28.4,27.8,24.96,18.4,303.33,94.67606744,
72,3,3,1,4,15.2,29.1,24.9,29.1,18.4,130.8,98.6438315,
68,3,3,2,5,16.6,29.1,23.7,31.32,14.8,132.5,99.99941222,
62,3,3,3,6,17.1,29.6,23.9,54.9,7.2,90,98.80303385,
92,3,3,4,7,17.2,29.4,24.1,42.27,7.2,220,95.27268438,
76,3,3,5,1,15.1,29.1,24.3,30.37,7.6,263,89.73490836,
72,3,3,6,2,10.1,29.2,20.7,40.69,10.8,163.33,82.57526293,
78,3,3,7,3,15.6,30,23.4,41.27,3.6,263.33,74.19820225,
74,3,3,8,4,16.1,29.9,24,31.51,10.8,130,65.00072446,
85,3,3,9,5,15.1,29.7,23.5,26.67,10.8,233.33,55.35914524,
76,3,3,10,6,27.1,30.6,28.8,27.94,7.2,90,45.62536467,
81,3,3,11,7,16.4,32.1,26.8,26.75,7.2,216.67,36.12827902,
72,3,3,12,1,17.1,32.9,25,33.89,7.2,210,27.17692404,
73,3,3,13,2,13.1,31.9,22.9,36.06,10.8,165,19.06346716,
59,3,3,14,3,16.6,30.3,24.4,34.49,7.2,173.33,12.0653301,
67,3,3,15,4,16.1,28.4,22.5,41.41,10.8,153.33,6.445994652,
69,3,3,16,5,17.1,29.2,23.8,30.97,10.8,146.67,2.453469538,
75,3,3,17,6,16.1,29.6,23.7,35.47,7.2,90,0.314502668,
76,3,3,18,7,26.4,26.4,26.4,20.82,7.2,300,0.222173447,
63,3,3,19,1,15.1,30.3,24,28.87,14.4,307,2.315186878,
67,3,3,20,2,13,31,22.85,51.98,8.09,233,6.649351823,
75,3,3,21,3,16.6,32.1,26.8,26.51,9.4,166.25,13.16510454,
70,3,3,22,4,18.6,31.9,27.5,26.31,7.6,187.5,21.65856224,
83,3,3,23,5,18.6,33.2,27,30.16,7.2,130,31.76589291,
70,3,3,24,6,18.1,33.6,28,26.33,9.4,139.25,42.97013983,
71,3,3,25,7,18.6,32.1,26.7,25.69,7.2,34,54.63524307,
75,3,3,26,1,17.4,32.1,25.8,31.94,10.8,226.67,66.06469027,
77,3,3,27,2,18.6,31,25.9,30.05,7.3,158,76.57452556,
59,3,3,28,3,17.1,30,23.5,43.12,7.2,205,85.56552778,
54,3,3,29,4,17.6,28.4,23.5,32.18,7.2,74,92.57942605,
50,3,3,30,5,18.6,29.1,23.9,28.09,16.6,86.67,97.3290304,
56,3,3,31,6,18.1,30.6,25.6,31.62,24.1,95,99.69993954,
70,3,4,1,7,19.7,19.7,19.7,49.03,3.6,40,99.72893451,
61,3,4,2,1,20.1,30.8,25.4,31.99,10.9,318.5,97.56877897,
67,3,4,3,2,25.1,25.1,25.1,51.98,8.09,233,93.44998493,
53,3,4,4,3,10.1,30.1,19.6,30.67,13,195,87.64780419,
75,3,4,5,4,14.1,32.1,24.7,17.65,7.2,220,80.45881681,
80,3,4,6,5,25.1,30.1,27.6,12.18,20.5,270,72.18765169,
67,3,4,7,6,14.1,14.1,14.1,35.62,0,150,63.14173697,
81,3,4,8,7,19.1,19.1,19.1,30.18,3.6,80,53.63096471,
75,3,4,9,1,18.6,18.6,18.6,30.47,8.09,90,43.96952203,
66,3,4,10,2,26.1,31.7,28.9,13.9,7.6,110,34.47820119,
80,3,4,11,3,18.6,29.7,24.5,43.32,7.2,143.33,25.48642682,
87,3,4,12,4,18.2,26.7,22.4,48.79,7.2,45,17.33339757,
90,3,4,13,5,11.1,29.2,21.4,25.99,10.8,213.33,10.36697536,
59,3,4,14,6,9,29,22.85,51.98,8.09,150,4.937693369,
62,3,4,15,7,18.9,30.3,24.9,22.57,7.2,110,1.384389221,
72,3,4,16,1,19.1,30.7,25.5,30.47,7.2,86.67,0.008528203,
64,3,4,17,2,28.4,31.2,29.8,21.62,10.8,300,1.036941751,
82,3,4,18,3,21.1,31.4,27.2,25.93,7.2,300,4.577280014,
67,3,4,19,4,20.8,32.1,27.1,22.7,9.4,166.67,10.57558637,
72,3,4,20,5,20.7,26.9,24.5,43.11,3.6,60,18.78868781,
64,3,4,21,6,21.1,21.1,21.1,46.2,5.4,310,28.78320659,
67,3,4,22,7,14.1,32.3,24.6,35.32,7.2,294,39.96706677,
64,3,4,23,1,21.6,33.2,27.9,27.36,10.8,150,51.65003651,
84,3,4,24,2,28.7,32.7,30.7,18.63,7.2,205,63.12084369,
77,3,4,25,3,21.1,33.1,28.2,16.63,11.2,310,73.72362695,
74,3,4,26,4,13.1,32.8,24,20.19,11,223,82.91780433,
87,3,4,27,5,20.8,32.6,27.4,19,13,232.5,90.31178472,
56,3,4,28,6,29.1,30.1,29.6,10.68,20.5,305,95.66920881,
67,3,4,29,7,27.9,31.2,29.5,27.54,10.8,300,98.89332066,
73,3,4,30,1,21.6,31.7,27.1,30.25,10.8,203.33,99.99870891,
56,3,5,1,2,15.1,30.1,25.2,32.48,9.4,158.5,99.07982255,
72,3,5,2,3,24.1,31.9,27.9,32.46,7.2,140,96.2833851,
67,3,5,3,4,21.4,28.7,25.9,43.79,7.1,337.33,91.78853687,
78,3,5,4,5,27.1,28.4,27.7,36.08,7.2,10,85.7954528,
62,3,5,5,6,19,29,22.85,51.98,8.09,50,78.52106517,
71,3,5,6,7,17.1,27.4,21.7,65.59,7.2,77.5,70.19962214,
71,3,5,7,1,21.7,28.9,25.9,44.41,7.2,80,61.08597837,
77,3,5,8,2,20.1,24,22,55.78,4,326,51.46027352,
94,3,5,9,3,20.1,26.4,23.2,59.07,3.6,270,41.63335607,
87,3,5,10,4,28.1,29.4,28.7,32.94,7.6,340,31.9523285,
67,3,5,11,5,19.4,28.9,24.1,52.35,7.2,270,22.80459746,
62,3,5,12,6,21.1,21.1,21.1,73.12,9.4,10,14.61703575,
79,3,5,13,7,21.7,31.3,26.9,49.39,6.7,140,7.845183981,
84,3,5,14,1,19.5,29.7,25,52.95,13,85.5,2.9472132,
63,3,5,15,2,16,31,22.85,51.98,8.09,100,0.33996283,
77,3,5,16,3,23.1,32.3,28.1,39.6,11.2,223.25,0.340167162,
68,3,5,17,4,23.9,31.1,27.5,35.51,11.2,325,3.101596067,
87,3,5,18,5,21.4,32,26.7,34.1,11.4,319.5,8.564936488,
70,3,5,19,6,22.9,31.1,27,25.52,25.9,295,16.43788449,
65,3,5,20,7,21.5,30.9,26.3,15.17,7.2,317.67,26.21605657,
76,3,5,21,1,13.1,30.9,21.9,42.26,7.2,175,37.24287211,
88,3,5,22,2,21.2,32.1,27.3,25.42,7.2,236.67,48.79395741,
74,3,5,23,3,22.7,32.1,27.4,28.28,9.4,170,60.16473361,
78,3,5,24,4,23.7,30.2,26.9,37.69,3.6,230,70.74134346,
62,3,5,25,5,20.1,34.1,25.5,42.49,7.2,300,80.04314547,
67,3,5,26,6,20.1,33.1,25.5,37.74,11.2,50,87.73514061,
66,3,5,27,7,23.6,36.6,30.1,40.35,7.2,206.67,93.61663838,
70,3,5,28,1,19.1,25.1,22.7,64.65,7.6,140,97.59617085,
63,3,5,29,2,22.3,34.6,28,48.42,7.4,271.5,99.66241208,
58,3,5,30,3,23.4,26.1,24.7,54.68,7.2,10,99.85821521,
75,3,5,31,4,22.9,22.9,22.9,70.26,3.6,310,98.26152817,
77,3,6,1,5,23.7,23.7,23.7,72.2,3.6,70,94.97407093,
65,3,6,2,6,23.4,23.4,23.4,58.11,3.6,20,90.11680958,
74,3,6,3,7,22.9,33.1,28.5,28.15,7.2,86.67,83.83053082,
70,3,6,4,1,22.9,34.1,28.5,31.37,3.6,100,76.2799896,
66,3,6,5,2,22.4,32.1,27.5,48.17,7.2,216.67,67.66076118,
75,3,6,6,3,23.7,30.1,26.9,45.97,7.6,275,58.2085315,
68,3,6,7,4,22.4,32.1,27.2,46.29,5.4,265,48.21052652,
73,3,6,8,5,21.4,31.7,26.5,51.74,7.2,165,38.01767785,
74,3,6,9,6,21.4,21.4,21.4,71.79,3.6,320,28.05392734,
65,3,6,10,7,20.4,29.1,24.5,62.57,7.2,216.67,18.81643882,
77,3,6,11,1,27.7,27.7,27.7,48.61,3.6,180,10.85885062,
58,3,6,12,2,20.4,26.9,24.5,58.83,11.2,145,4.75099034,
71,3,6,13,3,19.7,26.1,22.9,65.03,13,130,1.014139452,
74,3,6,14,4,20.7,20.7,20.7,76.39,3.6,350,0.040511235,
91,3,6,15,5,19.1,29.1,24.1,53.31,18.4,290,2.01566031,
63,3,6,16,6,20.4,22.1,21.2,64.84,7.2,300,6.867486354,
61,3,6,17,7,19.1,27.7,23.2,62.97,7.6,245,14.2607969,
71,3,6,18,1,19.9,28.7,25.2,48.52,22.3,287.5,23.64238577,
87,3,6,19,2,17.2,23.6,20.3,76.91,7.2,280,34.32443674,
76,3,6,20,3,17.4,20.1,18.7,78.08,9.4,280,45.58224137,
57,3,6,21,4,20.4,28.1,24.2,62.07,13,265,56.7409221,
78,3,6,22,5,18.1,23.9,20.8,74.74,3.6,180,67.23404359,
69,3,6,23,6,16.1,27.1,22.1,68.72,13,186.67,76.62912344,
70,3,6,24,7,16.6,25.6,21.5,72.56,7.2,280.33,84.62524666,
73,3,6,25,1,19.9,27.9,23.9,61.93,10.8,253.5,91.03316574,
72,3,6,26,2,17.1,23.1,21.3,69.5,7.6,73.33,95.7485517,
83,3,6,27,3,18.1,18.1,18.1,88.1,0,95,98.72636703,
73,3,6,28,4,17,17.8,22.85,51.98,8.09,40,99.96076236,
82,3,6,29,5,16.1,16.1,16.1,93.79,0,95,99.47187197,
59,3,6,30,6,20.1,27.1,23.6,54.43,7.6,95,97.29900552,
67,3,7,1,7,20.5,21.1,20.8,75.24,9.4,40,93.49903239,
69,3,7,2,1,19.1,28.3,22.2,70.31,4,218.5,88.14894886,
